DATE,IRLTLT01IEM156N
2000-01-01,5.8
2000-02-01,5.76
2000-03-01,5.58
2000-04-01,5.46
2000-05-01,5.61
2000-06-01,5.43
2000-07-01,5.52
2000-08-01,5.47
2000-09-01,5.52
2000-10-01,5.46
2000-11-01,5.4
2000-12-01,5.14
2001-01-01,5.03
2001-02-01,5.01
2001-03-01,4.92
2001-04-01,5.09
2001-05-01,5.28
2001-06-01,5.23
2001-07-01,5.23
2001-08-01,5.01
2001-09-01,5.01
2001-10-01,4.77
2001-11-01,4.63
2001-12-01,4.93
2002-01-01,5.02
2002-02-01,5.2
2002-03-01,5.42
2002-04-01,5.41
2002-05-01,5.41
2002-06-01,5.25
2002-07-01,5.11
2002-08-01,4.84
2002-09-01,4.63
2002-10-01,4.7
2002-11-01,4.67
2002-12-01,4.46
2003-01-01,4.27
2003-02-01,4.06
2003-03-01,4.09
2003-04-01,4.22
2003-05-01,3.89
2003-06-01,3.69
2003-07-01,4.01
2003-08-01,4.17
2003-09-01,4.19
2003-10-01,4.25
2003-11-01,4.39
2003-12-01,4.36
2004-01-01,4.2
2004-02-01,4.15
2004-03-01,3.97
2004-04-01,4.17
2004-05-01,4.31
2004-06-01,4.38
2004-07-01,4.27
2004-08-01,4.09
2004-09-01,4.04
2004-10-01,3.92
2004-11-01,3.8
2004-12-01,3.62
2005-01-01,3.52
2005-02-01,3.51
2005-03-01,3.66
2005-04-01,3.46
2005-05-01,3.28
2005-06-01,3.13
2005-07-01,3.18
2005-08-01,3.22
2005-09-01,3.04
2005-10-01,3.19
2005-11-01,3.4
2005-12-01,3.36
2006-01-01,3.32
2006-02-01,3.47
2006-03-01,3.65
2006-04-01,3.9
2006-05-01,3.96
2006-06-01,3.98
2006-07-01,4.0
2006-08-01,3.88
2006-09-01,3.76
2006-10-01,3.78
2006-11-01,3.72
2006-12-01,3.76
2007-01-01,4.04
2007-02-01,4.07
2007-03-01,3.97
2007-04-01,4.19
2007-05-01,4.32
2007-06-01,4.62
2007-07-01,4.59
2007-08-01,4.4
2007-09-01,4.32
2007-10-01,4.39
2007-11-01,4.31
2007-12-01,4.45
2008-01-01,4.25
2008-02-01,4.21
2008-03-01,4.17
2008-04-01,4.44
2008-05-01,4.58
2008-06-01,4.91
2008-07-01,4.92
2008-08-01,4.59
2008-09-01,4.56
2008-10-01,4.55
2008-11-01,4.56
2008-12-01,4.57
2009-01-01,5.2
2009-02-01,5.65
2009-03-01,5.76
2009-04-01,5.34
2009-05-01,5.27
2009-06-01,5.73
2009-07-01,5.45
2009-08-01,4.92
2009-09-01,4.91
2009-10-01,4.77
2009-11-01,4.82
2009-12-01,4.88
2010-01-01,4.83
2010-02-01,4.73
2010-03-01,4.53
2010-04-01,4.76
2010-05-01,4.86
2010-06-01,5.31
2010-07-01,5.32
2010-08-01,5.3
2010-09-01,6.14
2010-10-01,6.42
2010-11-01,8.22
2010-12-01,8.45
2011-01-01,8.75
2011-02-01,9.1
2011-03-01,9.67
2011-04-01,9.79
2011-05-01,10.64
2011-06-01,11.43
2011-07-01,12.45
2011-08-01,9.57
2011-09-01,8.51
2011-10-01,8.1
2011-11-01,8.51
2011-12-01,8.7
2012-01-01,7.71
2012-02-01,7.02
2012-03-01,6.9
2012-04-01,6.88
2012-05-01,7.12
2012-06-01,7.09
2012-07-01,6.12
2012-08-01,5.91
2012-09-01,5.28
2012-10-01,4.77
2012-11-01,4.59
2012-12-01,4.67
2013-01-01,4.18
2013-02-01,3.78
2013-03-01,3.83
2013-04-01,3.78
2013-05-01,3.48
2013-06-01,4.02
2013-07-01,3.88
2013-08-01,3.92
2013-09-01,3.95
2013-10-01,3.65
2013-11-01,3.53
2013-12-01,3.48
2014-01-01,3.39
2014-02-01,3.24
2014-03-01,3.05
2014-04-01,2.9
2014-05-01,2.71
2014-06-01,2.44
2014-07-01,2.28
2014-08-01,2.02
2014-09-01,1.75
2014-10-01,1.74
2014-11-01,1.58
2014-12-01,1.31
2015-01-01,1.22
2015-02-01,1.12
2015-03-01,0.8
2015-04-01,0.73
2015-05-01,1.25
2015-06-01,1.65
2015-07-01,1.47
2015-08-01,1.29
2015-09-01,1.31
2015-10-01,1.14
2015-11-01,1.1
2015-12-01,1.11
2016-01-01,1.05
2016-02-01,0.99
2016-03-01,0.85
2016-04-01,0.86
2016-05-01,0.84
2016-06-01,0.76
2016-07-01,0.47
2016-08-01,0.4
2016-09-01,0.42
2016-10-01,0.5
2016-11-01,0.85
2016-12-01,0.84
2017-01-01,0.99
2017-02-01,1.06
2017-03-01,1.05
2017-04-01,0.91
2017-05-01,0.83
2017-06-01,0.7
2017-07-01,0.87
2017-08-01,0.73
2017-09-01,0.7
2017-10-01,0.66
2017-11-01,0.58
2017-12-01,0.54
2018-01-01,0.91
2018-02-01,1.13
2018-03-01,1.01
2018-04-01,0.94
2018-05-01,0.98
2018-06-01,0.92
2018-07-01,0.83
2018-08-01,0.86
2018-09-01,0.93
2018-10-01,1.01
2018-11-01,0.98
2018-12-01,0.91
2019-01-01,0.94
2019-02-01,0.86
2019-03-01,0.67
2019-04-01,0.56
2019-05-01,0.5
2019-06-01,0.27
2019-07-01,0.13
2019-08-01,-0.05
2019-09-01,-0.01
2019-10-01,0.02
2019-11-01,0.07
2019-12-01,0.04
2020-01-01,0.0
2020-02-01,-0.13
2020-03-01,0.07
2020-04-01,0.2
2020-05-01,0.11
2020-06-01,0.08
2020-07-01,-0.05
2020-08-01,-0.12
2020-09-01,-0.13
2020-10-01,-0.22
2020-11-01,-0.25
2020-12-01,-0.29
2021-01-01,-0.24
2021-02-01,-0.06
2021-03-01,0.03
2021-04-01,0.08
2021-05-01,0.24
2021-06-01,0.18
2021-07-01,0.03
